类别：所有类别

周,市场趋势: (全球)
2020-05-31,63
2020-06-07,66
2020-06-14,59
2020-06-21,58
2020-06-28,57
2020-07-05,59
2020-07-12,58
2020-07-19,55
2020-07-26,55
2020-08-02,55
2020-08-09,55
2020-08-16,58
2020-08-23,56
2020-08-30,59
2020-09-06,59
2020-09-13,57
2020-09-20,60
2020-09-27,57
2020-10-04,55
2020-10-11,54
2020-10-18,61
2020-10-25,56
2020-11-01,55
2020-11-08,58
2020-11-15,57
2020-11-22,59
2020-11-29,60
2020-12-06,58
2020-12-13,56
2020-12-20,56
2020-12-27,51
2021-01-03,63
2021-01-10,66
2021-01-17,64
2021-01-24,70
2021-01-31,69
2021-02-07,69
2021-02-14,69
2021-02-21,73
2021-02-28,71
2021-03-07,66
2021-03-14,64
2021-03-21,65
2021-03-28,60
2021-04-04,63
2021-04-11,68
2021-04-18,71
2021-04-25,63
2021-05-02,64
2021-05-09,74
2021-05-16,84
2021-05-23,74
2021-05-30,63
2021-06-06,66
2021-06-13,62
2021-06-20,64
2021-06-27,54
2021-07-04,54
2021-07-11,56
2021-07-18,56
2021-07-25,54
2021-08-01,53
2021-08-08,55
2021-08-15,58
2021-08-22,56
2021-08-29,52
2021-09-05,58
2021-09-12,57
2021-09-19,63
2021-09-26,55
2021-10-03,58
2021-10-10,59
2021-10-17,63
2021-10-24,63
2021-10-31,65
2021-11-07,64
2021-11-14,64
2021-11-21,64
2021-11-28,67
2021-12-05,68
2021-12-12,67
2021-12-19,62
2021-12-26,57
2022-01-02,63
2022-01-09,66
2022-01-16,77
2022-01-23,82
2022-01-30,69
2022-02-06,64
2022-02-13,63
2022-02-20,71
2022-02-27,57
2022-03-06,65
2022-03-13,64
2022-03-20,57
2022-03-27,56
2022-04-03,57
2022-04-10,55
2022-04-17,54
2022-04-24,66
2022-05-01,60
2022-05-08,87
2022-05-15,100
2022-05-22,80
